query,hf_latency_ms,openai_latency_ms,hf_avg_similarity,openai_avg_similarity
moisturizer for dry skin,40.29369354248047,218.7952995300293,0.68694454,0.6079427
face serum with vitamin C,7.046699523925781,225.35252571105957,0.80832255,0.68096805
sunscreen for sensitive skin,23.85115623474121,221.33111953735352,0.69997627,0.6076089
anti-aging cream for wrinkles,31.62837028503418,297.1487045288086,0.7513778,0.6674607
gentle cleanser for oily skin,33.719539642333984,192.19422340393066,0.68169844,0.6214921
shampoo for curly hair,15.655517578125,272.95923233032227,0.704079,0.609817
hair mask for damaged bleached hair,26.07560157775879,291.9156551361084,0.63661313,0.5458118
volumizing shampoo for fine hair,23.8955020904541,294.2540645599365,0.6776103,0.6561471
natural conditioner for frizzy hair,24.578571319580078,266.11804962158203,0.7436306,0.5668596
scalp treatment for dandruff,30.45201301574707,235.16225814819336,0.7434236,0.6026774
long lasting foundation for oily skin,22.40133285522461,278.9134979248047,0.6855439,0.5990803
waterproof mascara,23.36740493774414,177.54530906677246,0.77551526,0.6750838
red lipstick matte finish,25.27618408203125,289.3249988555908,0.7218582,0.6750792
eyebrow pencil for sparse brows,29.335737228393555,214.23602104187012,0.7030592,0.66291267
setting powder for dry skin,23.284196853637695,350.1241207122803,0.598635,0.5870509
natural deodorant without aluminum,30.60770034790039,186.9494915008545,0.8081764,0.69322973
body lotion with shea butter,23.696184158325195,193.11952590942383,0.7523747,0.64546335
perfume with floral scent,21.610021591186523,819.4365501403809,0.7387038,0.57610005
lip balm for chapped lips,22.37534523010254,208.27651023864746,0.75552684,0.6397401
face mask for acne prone skin,33.21385383605957,190.8872127532959,0.65998524,0.58677274
